partner,num,street,dr,city
South Knoxville Elementary School,801,Sevier,Ave,Knoxville
Sarah Moore Greene Elementary School,3001,Brooks,Ave,Knoxville
Green Magnet Academy ,801,Town View,DR,Knoxville
Lonsdale Elementary School,1317,Louisiana,AVE,Knoxville
Norwood Elementary School,1909,Merchant,DR,Knoxville
Pond Gap Elementary School,1401,Hollywood,RD,Knoxville
Vine Middle Magnet School,1807,Martin Luther King Jr,AVE,Knoxville
University of Tennessee Knoxville,1115,Volunteer,BLVD,Knoxville
Victor Ashe Park,4901,Bradshaw,RD,Knoxville
Ijams Nature Center,2915,Island Home,Ave,Knoxville
Tyson Park,2351,Kingston,PK,Knoxville
World's Fair Park,1600,World's Fair Park,DR,Knoxville
Krutch Park,504,Market,St,Knoxville
Harriet Tubman Park,300,Harriet Tubman,St,Knoxville
KAT Station,301,Church,Ave,Knoxville
Vestal Boys and Girls Club,522,Maryville,Pk,Knoxville
Ashley Nicole Dream Playground,900,E Hill,Ave,Knoxville
Christenberry Rec Center,931,Oglewood,Ave,Knoxville
Athens-McMinn YMCA,205,Knoxville,Ave,Athens
East Lake Fitness Zone,3601,Dodds,Ave,Chattanooga
Carver Fitness Zone,600,N Orchard Knob,Ave,Chattanooga
South Chattanooga Fitness Zone,501,W 12th,St,Chattanooga
Eastdale Youth & Family Development Center  ,1314,Moss,St,Chattanooga
Warner Park,1100,McCallie,Ave,Chattanooga
Walnut Street Bridge,1,Walnut,St,Chattanooga
Avondale Youth and Family  Development Center,1305,Dodson,Ave,Chattanooga
Brainerd Youth and Family Development Center,1010,N Moore,Rd,Chattanooga
University of Tennessee Chattanooga,615,McCallie,Ave,Chattanooga
Liberty Garden Park,24,Channing,Way,Jackson
West Tennessee Farmer's Market,91,Market,St,Jackson
University of Memphis Lambuth Campus,705,Lambuth,Blvd,Jackson
Johnson City Transit,137,W Market ,St,Johnson City
Memorial Park Community Center,510,Bert,St,Johnson City
Memorial Park Tennis Court,510,Bert,St,Johnson City
Carver Park Recreation Center,322,W Watauga ,Ave,Johnson City
East Tennessee State University,1276,Gilbreath,Dr,Johnson City
Fred Deadman Memorial Park,166,Wilson,St,Manchester
V&E Greenline Station House,1625,Tutwiler,Ave,Memphis
T.O. Fuller State Park,1500,W Mitchell,Rd,Memphis
Meeman-Shelby Forest Station Park,910,Riddick,Rd,Memphis
St. Patrick Catholic School,277,South Fourth,St,Memphis
Shelby Farms Park Conservancy,500,N Pine Lake,Dr,Memphis
Fogleman Downtown YMCA,245,Madison,Ave,Memphis
YMCA of Mempis and the Mid-South,6373,N Quail Hollow,Rd,Memphis
Davis YMCA,4727,Elvis Presley,Blvs,Memphis
Univesity of Memphis,3720,Almni,Ave,Memphis
Tennessee State University,3500,John A. Merritt,Blvd,Nashville
